ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,1735883,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1676981,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1759834,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1759833,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1603979,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1627946,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1652902,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1591548,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1601315,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1627947,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1652903,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1591544,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1627949,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1652908,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1591540,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1591541,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1591542,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1613301,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1639934,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1615968,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1639935,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1578579,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1818690,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1615967,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1639939,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1782282,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1804036,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1804039,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1804038,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1804033,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1804032,SYSTEM.TXT,1.00000,1.00000,1.00000,1
